timestamp,ticker,price,tv_signal,tv_score,tv_buy,tv_sell,tv_neutral,bc_signal,bc_score,bc_buy,bc_sell,bc_neutral,ts_signal,ts_strength,ts_score,ts_days,ai_signal,ai_confidence,ai_price_target,ai_price_target_low,ai_price_target_high,ai_target_date,ai_target_date_range,consensus_signal,consensus_score,swing_label,swing_delta
2026-04-26T09:23:21.590086,SPY,713.94,BUY,1.0,16,0,10,,,,,,,,,,,,,,,,,BUY,1.0,,
2026-04-26T09:23:24.469862,QQQ,663.88,BUY,1.0,17,0,9,,,,,,,,,,,,,,,,,BUY,1.0,,
2026-04-26T09:23:27.374028,GLD,433.25,HOLD,0.0,8,8,10,,,,,,,,,,,,,,,,,HOLD,0.0,,
2026-04-26T09:23:30.204283,MSFT,424.62,BUY,0.5,12,4,10,,,,,,,,,,,,,,,,,BUY,0.5,,
2026-04-26T09:23:33.001905,SLV,68.79,HOLD,0.0,8,8,10,,,,,,,,,,,,,,,,,HOLD,0.0,,
2026-04-26T09:23:35.819395,COMB,26.4761,BUY,0.3125,14,2,10,,,,,,,,,,,,,,,,,BUY,0.3125,,
2026-04-26T09:31:30.367278,SPY,713.94,BUY,1.0,16,0,10,,,,,,,,,,,,,,,,,BUY,1.0,,
2026-04-26T09:31:33.312827,QQQ,663.88,BUY,1.0,17,0,9,,,,,,,,,,,,,,,,,BUY,1.0,,
2026-04-26T09:31:36.258047,GLD,433.25,HOLD,0.0,8,8,10,,,,,,,,,,,,,,,,,HOLD,0.0,,
2026-04-26T09:31:39.136447,MSFT,424.62,BUY,0.5,12,4,10,,,,,,,,,,,,,,,,,BUY,0.5,,
2026-04-26T09:31:42.057674,SLV,68.79,HOLD,0.0,8,8,10,,,,,,,,,,,,,,,,,HOLD,0.0,,
2026-04-26T09:31:44.918211,COMB,26.4761,BUY,0.6875,14,2,10,,,,,,,,,,,,,,,,,BUY,0.6875,,
2026-04-26T10:05:43.869600,SPY,713.94,BUY,1.0,16,0,10,,,,,,,,,,,,,,,,,BUY,0.8419,,
2026-04-26T10:05:48.268151,QQQ,663.88,BUY,1.0,17,0,9,,,,,,,,,,,,,,,,,BUY,0.8419,,
2026-04-26T10:05:51.327961,GLD,433.25,HOLD,0.0,8,8,10,,,,,,,,,,,,,,,,,HOLD,-0.0316,,
2026-04-26T10:05:54.285579,MSFT,424.62,BUY,0.5,12,4,10,,,,,,,,,,,,,,,,,BUY,0.4447,,
2026-04-26T10:05:57.262554,SLV,68.79,HOLD,0.0,8,8,10,,,,,,,,,,,,,,,,,HOLD,0.0316,,
2026-04-26T10:06:00.194647,COMB,26.4761,BUY,0.6875,14,2,10,,,,,,,,,,,,,,,,,BUY,0.5956,,
2026-04-26T10:08:59.269236,SPY,713.940002,,,,,,,,,,,,,,,,,,,,,,BUY,0.52,WEAK_SWING,-0.4273
2026-04-26T10:09:09.227763,QQQ,663.880005,,,,,,,,,,,,,,,,,,,,,,BUY,0.52,WEAK_SWING,-0.4273
2026-04-26T10:09:17.628749,GLD,433.25,,,,,,,,,,,,,,,,,,,,,,HOLD,-0.08,,
2026-04-26T10:09:26.164780,MSFT,424.619995,,,,,,,,,,,,,,,,,,,,,,BUY,0.32,,
2026-04-26T10:09:34.640311,SLV,68.790001,,,,,,,,,,,,,,,,,,,,,,HOLD,0.08,,
2026-04-26T10:09:43.169899,COMB,26.476,,,,,,,,,,,,,,,,,,,,,,BUY,0.4,,
